download_count,project
25771928,"jupyter-client"
25697519,"torch"
25583778,"pure-eval"
25522303,"uvicorn"
25428648,"pyflakes"
25146072,"nbconvert"
24968713,"aenum"
24814204,"oscrypto"
24732612,"opentelemetry-semantic-conventions"
24710668,"starlette"
24687150,"asgiref"
24528494,"elasticsearch"
24379019,"shapely"
24327701,"python-utils"
24312303,"tensorboard"
24269734,"ipykernel"
24242437,"debugpy"
24185151,"apache-airflow"
24079214,"jupyter-server"
24018431,"types-python-dateutil"
24009046,"flake8"
23824280,"google-cloud-secret-manager"
23701300,"tokenizers"
23562466,"nbformat"
23546554,"pyodbc"
23512357,"requests-file"
23433363,"notebook"
23218353,"sagemaker"
23178523,"snowflake-sqlalchemy"
23029959,"absl-py"
22915566,"structlog"
22220397,"smart-open"
22048874,"pylint"
21974435,"mysql-connector-python"
21952276,"adal"
21883048,"xlrd"
21880848,"openai"
21579946,"sympy"
21536303,"humanfriendly"
21520957,"pysocks"
21392228,"astroid"
21389790,"zope-interface"
21388424,"monotonic"
21372580,"mistune"
21370291,"rfc3339-validator"
21228479,"bleach"
21209244,"tinycss2"
21058969,"imageio"
20853190,"comm"
20738000,"xlsxwriter"
20553075,"typeguard"
20372793,"cattrs"
20309071,"click-man"
20011727,"asynctest"
19891866,"jupyterlab-server"
19876529,"pbr"
19819845,"mpmath"
19813520,"h5py"
19701148,"altair"
19571345,"tensorflow"
19338670,"sentencepiece"
19311636,"jupyterlab"
19234214,"slack-sdk"
19198390,"text-unidecode"
19068318,"argon2-cffi"
19052136,"nbclient"
19041116,"google-cloud-bigquery-storage"
18821360,"gremlinpython"
18813696,"xgboost"
18649969,"send2trash"
18623316,"croniter"
18552669,"nodeenv"
18541728,"email-validator"
18382140,"watchdog"
18363303,"pytest-xdist"
18341099,"argon2-cffi-bindings"
18176592,"oauth2client"
18157397,"execnet"
17961316,"flatbuffers"
17956239,"nltk"
17942911,"simplejson"
17909671,"appdirs"
17875158,"google-cloud-aiplatform"
17760458,"ujson"
17683687,"google-cloud-appengine-logging"
17678836,"python-slugify"
17600012,"dataclasses-json"
17528658,"great-expectations"
17522752,"overrides"
17515745,"lz4"
17408577,"gast"
17241264,"json5"
17165787,"pandocfilters"
17104701,"setproctitle"
16961085,"notebook-shim"
16881205,"entrypoints"
16867684,"ipywidgets"
16864120,"widgetsnbextension"
16845184,"jupyterlab-pygments"
16832558,"db-dtypes"
16832206,"pre-commit"
16705078,"azure-storage-file-datalake"
16674063,"schema"
16573115,"seaborn"
16560932,"mypy"
16536109,"google-cloud-resource-manager"
16385446,"selenium"
16374868,"identify"
16320662,"aiofiles"
16306248,"analytics-python"
16240480,"orbax-checkpoint"
16214968,"pathos"
16189652,"opentelemetry-proto"
16185010,"apache-airflow-providers-common-sql"
16132436,"jupyterlab-widgets"
16106240,"webcolors"
16026734,"numba"
15993863,"terminado"
15988102,"pox"
15983721,"ppft"
15923340,"pkce"
15888410,"cfgv"
15887651,"llvmlite"
15830144,"evergreen-py"
15760901,"html5lib"
15759393,"semver"
15740705,"azure-mgmt-core"
15693965,"statsmodels"
15602366,"jupyter-events"
15570229,"tensorboard-data-server"
15548446,"db-contrib-tool"
15503300,"hvac"
15489739,"keras"
15474441,"fqdn"
15439307,"rfc3986-validator"
15410616,"isoduration"
15396939,"smdebug-rulesconfig"
15383310,"uri-template"
15321446,"sphinx"
15301136,"lazy-object-proxy"
15253362,"google-cloud-logging"
15201447,"databricks-cli"
14988795,"databricks-sql-connector"
14971849,"safetensors"
14929421,"pandas-gbq"
14893021,"responses"
14781784,"wsproto"
14756639,"cached-property"
14706993,"jupyter-server-terminals"
14679131,"cinemagoer"
14663774,"imdbpy"
14627662,"thrift"
14595607,"tensorflow-estimator"
14544028,"psycopg2"
14513889,"httptools"
14458986,"opencv-python"
14425385,"python-multipart"
14376870,"patsy"
14349707,"async-lru"
14253256,"msrestazure"
14222586,"ordered-set"
14217126,"pytest-mock"
14197859,"mock"
14175986,"opentelemetry-exporter-otlp-proto-common"
14170374,"uvloop"
14086874,"pickleshare"
14047183,"lockfile"
13914155,"watchfiles"
13882358,"opt-einsum"
13847819,"antlr4-python3-runtime"
