download_count,project
154525318,"fastjsonschema"
154200304,"traitlets"
152552686,"narwhals"
151569378,"asgiref"
150610135,"google-cloud-kms"
149484372,"gcsfs"
149172369,"google-analytics-admin"
148904569,"sqlparse"
148360176,"cloudpickle"
146820956,"librt"
146386176,"google-cloud-compute"
145195919,"webencodings"
141816500,"executing"
141619058,"babel"
140007518,"azure-storage-blob"
138827225,"jedi"
138759474,"datasets"
136969643,"databricks-sdk"
136458659,"gunicorn"
136154332,"parso"
136120921,"cython"
134816594,"asttokens"
134189099,"setuptools-scm"
133848740,"isort"
133019362,"grpc-google-iam-v1"
132578900,"google-cloud-dlp"
130518030,"matplotlib-inline"
130349391,"tornado"
129861978,"types-requests"
129364007,"pypdf"
128663251,"cachecontrol"
127459338,"google-cloud-texttospeech"
127115154,"xmltodict"
125436071,"marshmallow"
124339009,"stack-data"
124116100,"pure-eval"
123571313,"vcs-versioning"
122581480,"google-cloud-speech"
122072365,"python-json-logger"
121684358,"markdown"
121337316,"dbt-adapters"
119486114,"databricks-sql-connector"
118959014,"pymongo"
118553519,"google-cloud-pubsub"
116967627,"psycopg"
116925137,"langsmith"
115073622,"asyncpg"
114904797,"pymupdf"
114893031,"cfn-lint"
114242045,"kubernetes"
113685611,"dbt-core"
113620670,"structlog"
113399633,"python-docx"
113270689,"xlsxwriter"
113205802,"tinycss2"
112147750,"watchdog"
111317505,"py4j"
110997194,"pydantic-graph"
109644165,"psycopg-binary"
109452815,"pyzmq"
108727382,"pytokens"
107879396,"pyperclip"
107550466,"debugpy"
106599820,"aioitertools"
105773531,"safetensors"
105554813,"termcolor"
105035819,"pytest-mock"
105033359,"slack-sdk"
104845718,"lz4"
103538181,"importlib-resources"
103455115,"nest-asyncio"
103142767,"pytest-timeout"
102480941,"torch"
102289382,"sglang"
102220607,"pycryptodome"
102204595,"jsonschema-path"
101727957,"google-cloud-logging"
101427122,"flatbuffers"
101187201,"pandas-stubs"
101175764,"google-cloud-tasks"
100681113,"snowflake-snowpark-python"
100600082,"jupyter-core"
100335722,"typedload"
99429563,"opentelemetry-exporter-prometheus"
99399347,"deprecation"
99380025,"dulwich"
99103337,"beartype"
99062021,"tomli-w"
98760537,"griffelib"
97288234,"google-cloud-monitoring"
97141152,"cyclopts"
96074071,"pathable"
95672299,"pymysql"
95277791,"jsonref"
94983499,"jupyter-client"
94946095,"fastuuid"
94740431,"brotli"
94374576,"llama-parse"
94328231,"mdit-py-plugins"
94203520,"opentelemetry-instrumentation-fastapi"
93936970,"llama-cloud-services"
93922648,"mccabe"
93834699,"pkginfo"
92681417,"installer"
92535735,"playwright"
91978994,"croniter"
91816399,"sphinx"
91027126,"rich-rst"
91007414,"semver"
90917492,"dbt-common"
90861061,"opentelemetry-instrumentation-asgi"
90300577,"py-key-value-aio"
89914888,"xlrd"
89348090,"onnxruntime"
89249220,"google-cloud-bigtable"
89240435,"python-slugify"
89218710,"pycodestyle"
89034220,"wsproto"
89031232,"text-unidecode"
89002028,"linkify-it-py"
88814198,"rich-toolkit"
88710190,"fastmcp"
88556136,"markdownify"
88348693,"typing-inspect"
88078486,"awswrangler"
87149660,"pyee"
87096308,"truststore"
86687388,"ruamel-yaml-clib"
86196382,"google-cloud-vision"
86146586,"invoke"
86052562,"uc-micro-py"
86011939,"numba"
85768804,"shapely"
85766131,"poetry-plugin-export"
85290141,"poetry"
84820908,"argcomplete"
84509831,"graphql-core"
83736749,"nbformat"
83700338,"grpcio-health-checking"
83483497,"sqlglot"
83271769,"crashtest"
83160237,"google-cloud-run"
82458775,"msrest"
82257950,"faker"
82214499,"ast-serialize"
82205561,"deepdiff"
81942649,"fastmcp-slim"
81887980,"pygithub"
81864712,"loguru"
81842496,"rfc3339-validator"
81799814,"ipykernel"
81689653,"google-cloud-videointelligence"
81683829,"google-cloud-language"
81013021,"google-cloud-workflows"
80701250,"types-pyyaml"
80661261,"arrow"
80505852,"cleo"
80449982,"uuid-utils"
80266122,"mistune"
80011739,"google-cloud-redis"
80003770,"comm"
79994340,"google-cloud-dataform"
79820407,"sqlalchemy-bigquery"
79690057,"lark"
79567809,"snowflake-sqlalchemy"
79422938,"google-cloud-os-login"
79126164,"pytest-rerunfailures"
78950267,"tree-sitter"
78786770,"google-cloud-bigquery-datatransfer"
78637754,"requests-file"
78637646,"bleach"
78620724,"durationpy"
78556467,"ipython-pygments-lexers"
78065066,"google-cloud-dataproc-metastore"
77835120,"backports-zstd"
77700765,"google-cloud-orchestration-airflow"
77468346,"typeguard"
77426997,"backports-tarfile"
77406947,"google-cloud-memcache"
77088949,"aiosqlite"
76887653,"pypdfium2"
76880608,"reportlab"
76554634,"uncalled-for"
76019197,"google-cloud-automl"
75680428,"pycryptodomex"
75369476,"aiofile"
75071771,"pendulum"
74715354,"fastapi-cli"
74406319,"argon2-cffi"
74220387,"plotly"
74176984,"argon2-cffi-bindings"
74083238,"nltk"
73830482,"cattrs"
73307432,"mmh3"
72852742,"jsonpath-ng"
72785991,"smart-open"
72703662,"langgraph"
72508554,"pdfminer-six"
72449673,"caio"
72441274,"triton"
72423518,"humanize"
71526828,"responses"
71389919,"future"
70930564,"polars"
70833451,"google-cloud-dataflow-client"
70796714,"datadog"
70687775,"types-protobuf"
69771135,"cbor2"
69555564,"pydantic-extra-types"
69458995,"langchain-openai"
69292894,"llvmlite"
69215407,"pysocks"
69047612,"google-cloud-resource-manager"
69022381,"pylint"
68940837,"py"
68669896,"types-toml"
67755990,"nbconvert"
67739139,"dataclasses-json"
67208342,"python-pptx"
67133231,"openapi-pydantic"
66810516,"scramp"
66356928,"zope-interface"
66296495,"nbclient"
65928949,"pyflakes"
65680082,"colorlog"
65674942,"azure-common"
65125508,"portalocker"
64585431,"pbs-installer"
64334607,"opencv-python"
64106985,"jupyterlab-pygments"
63434267,"confluent-kafka"
63307310,"ray"
62830652,"pdfplumber"
62699991,"toolz"
62249238,"simplejson"
60940459,"azure-keyvault-secrets"
60830168,"pandocfilters"
60817178,"freezegun"
60610013,"ecdsa"
60608419,"notebook"
60494246,"types-certifi"
60435146,"flask-cors"
60251867,"click-plugins"
60237482,"selenium"
59767909,"grpclib"
59657713,"orderly-set"
59270441,"types-python-dateutil"
59222489,"jupyter-server"
59190867,"psycopg2"
58934776,"kombu"
58661696,"modal"
58540136,"langgraph-prebuilt"
58425368,"flake8"
58245954,"celery"
57743216,"types-awscrt"
57702145,"absl-py"
57467079,"fastapi-cloud-cli"
57249108,"langgraph-sdk"
57186609,"duckdb"
57153647,"botocore-stubs"
57147594,"findpython"
56835055,"json5"
56765305,"graphviz"
56600675,"prettytable"
56523911,"polars-runtime-32"
56068952,"trio"
56038922,"opentelemetry-instrumentation-httpx"
55998124,"httpx2"
55997982,"langchain-protocol"
55814597,"jupyterlab"
55673594,"elasticsearch"
55621394,"opensearch-py"
55579978,"redshift-connector"
55426634,"django"
55355505,"astroid"
55327575,"httpcore2"
